layers,neurons,lr,batch_size,epoch,dropout_rate,loss,accuracy,precision,recall,auc_pr,auc_roc
2,16,0.01,128,20,0.3,0.03061348758637905,0.9924812316894531,0.9900000095367432,1.0,0.9957951903343201,0.9938540458679199
2,16,0.01,128,30,0.1,0.025371268391609192,0.9953007698059082,0.9937264919281006,1.0,0.9972182512283325,0.9959150552749634
2,16,0.01,128,30,0.2,0.03039124794304371,0.9934210777282715,0.991239070892334,1.0,0.9971702098846436,0.9958199262619019
2,16,0.01,128,30,0.3,0.03671383112668991,0.99154132604599,0.9887640476226807,1.0,0.997072160243988,0.9954601526260376
2,16,0.01,128,50,0.2,0.0350666306912899,0.9953007698059082,0.9937264919281006,1.0,0.9971221089363098,0.9956434965133667
2,16,0.01,128,50,0.3,0.031423669308423996,0.9953007698059082,0.9937264919281006,1.0,0.9958856105804443,0.9939607977867126
2,16,0.01,32,20,0.1,0.03826166316866875,0.9906014800071716,0.9875311851501465,1.0,0.9971007704734802,0.9956040978431702
2,16,0.01,32,30,0.1,0.026802698150277138,0.9943609237670898,0.9924812316894531,1.0,0.9971433281898499,0.9957758188247681
2,16,0.01,32,40,0.2,0.025597000494599342,0.9953007698059082,0.9937264919281006,1.0,0.9985275268554688,0.9977138042449951
2,16,0.01,32,40,0.3,0.03158922120928764,0.99154132604599,0.9887640476226807,1.0,0.9972812533378601,0.9959266185760498
2,16,0.01,32,50,0.2,0.02545664645731449,0.9953007698059082,0.9937264919281006,1.0,0.9978987574577332,0.9964953064918518
2,16,0.01,64,20,0.2,0.02553904987871647,0.9934210777282715,0.991239070892334,1.0,0.99854975938797,0.9977486729621887
2,16,0.01,64,20,0.3,0.02764943055808544,0.9943609237670898,0.9924812316894531,1.0,0.9969501495361328,0.9955065846443176
2,16,0.01,64,30,0.1,0.02758580446243286,0.9924812316894531,0.9900000095367432,1.0,0.9970344305038452,0.9956668019294739
